"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Otu0907","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","o__Clostridiales_unclassified","o__Clostridiales_unclassified","o__Clostridiales_unclassified"
"Otu0908","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","g__Oscillospira_unclassified"
"Otu0909","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","g__Coprococcus_unclassified"
"Otu0910","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0911","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","f__Veillonellaceae_unclassified","f__Veillonellaceae_unclassified"
"Otu0912","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0913","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0914","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0915","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0916","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0917","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0918","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","g__Oscillospira_unclassified"
"Otu0919","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0920","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0921","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","f__Veillonellaceae_unclassified","f__Veillonellaceae_unclassified"
"Otu0922","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","o__Clostridiales_unclassified","o__Clostridiales_unclassified","o__Clostridiales_unclassified"
"Otu0923","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0924","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0925","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0926","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Oscillospira","g__Oscillospira_unclassified"
"Otu0927","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0928","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0929","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0930","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0931","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0932","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Clostridium","g__Clostridium_unclassified"
"Otu0933","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","f__Veillonellaceae_unclassified","f__Veillonellaceae_unclassified"
"Otu0934","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","f__Ruminococcaceae_unclassified","f__Ruminococcaceae_unclassified"
"Otu0935","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","f__Ruminococcaceae_unclassified","f__Ruminococcaceae_unclassified"
"Otu0936","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0937","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0938","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0939","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","f__Ruminococcaceae_unclassified","f__Ruminococcaceae_unclassified"
"Otu0940","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0941","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","o__Clostridiales_unclassified","o__Clostridiales_unclassified","o__Clostridiales_unclassified"
"Otu0942","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","o__Clostridiales_unclassified","o__Clostridiales_unclassified","o__Clostridiales_unclassified"
"Otu0943","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0944","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","f__Ruminococcaceae_unclassified","f__Ruminococcaceae_unclassified"
"Otu0945","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__celatum"
"Otu0946","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0947","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","f__Lachnospiraceae_unclassified","f__Lachnospiraceae_unclassified"
"Otu0948","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0949","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0950","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0951","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0952","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0953","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0954","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0955","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0956","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0957","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0958","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0959","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0960","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0961","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0962","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter","g__Turicibacter_unclassified"
"Otu0963","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter","g__Turicibacter_unclassified"
"Otu0964","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter","g__Turicibacter_unclassified"
"Otu0965","k__Bacteria","p__Firmicutes","c__Bacilli","o__Turicibacterales","f__Turicibacteraceae","g__Turicibacter","g__Turicibacter_unclassified"
"Otu0966","k__Bacteria","p__Firmicutes","c__Clostridia","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified"
"Otu0967","k__Bacteria","p__Firmicutes","c__Clostridia","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified"
"Otu0968","k__Bacteria","p__Firmicutes","c__Clostridia","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified","c__Clostridia_unclassified"
"Otu0969","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter","s__psychrolactophilus"
"Otu0970","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","f__Nocardioidaceae_unclassified","f__Nocardioidaceae_unclassified"
"Otu0971","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","f__Microbacteriaceae_unclassified","f__Microbacteriaceae_unclassified"
"Otu0972","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Rothia","s__mucilaginosa"
"Otu0973","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micrococcaceae","g__Rothia","g__Rothia_unclassified"
"Otu0974","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0975","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","s__durum"
"Otu0976","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Dermabacteraceae","g__Brachybacterium","s__conglomeratum"
"Otu0977","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0978","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0979","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0980","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0981","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0982","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0983","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0984","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0985","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0986","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0987","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0988","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0989","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0990","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0991","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0992","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0993","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0994","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0995","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0996","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0997","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","f__mitochondria_unclassified","f__mitochondria_unclassified"
"Otu0998","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu0999","k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia","g__Leptotrichia_unclassified"
"Otu1000","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1001","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1002","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1003","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1004","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1005","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1006","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1007","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1008","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1009","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1010","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1011","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1012","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1013","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1014","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1015","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1016","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1017","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1018","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1019","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1020","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1021","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1022","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1023","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1024","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1025","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1026","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1027","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1028","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1029","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1030","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1031","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1032","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1033","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1034","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1035","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1036","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1037","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1038","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1039","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1040","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1041","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1042","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1043","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1044","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1045","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1046","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1047","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Succinivibrio","g__Succinivibrio_unclassified"
"Otu1048","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Anaerobiospirillum","s__thomasii"
"Otu1049","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1050","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Anaerobiospirillum","g__Anaerobiospirillum_unclassified"
"Otu1051","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Anaerobiospirillum","g__Anaerobiospirillum_unclassified"
"Otu1052","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Anaerobiospirillum","g__Anaerobiospirillum_unclassified"
"Otu1053","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1054","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1055","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1056","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1057","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1058","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1059","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1060","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
"Otu1061","k__Bacteria","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified","k__Bacteria_unclassified"
